GEOID_2,Block Level LSLR,Breaks Leaks,CIP Sewer and Water Main,Daycare,Equity,Homeowner Initiated,max,maxes
17031010100,0.0,3.0,5.0,0.0,1.0,0.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031010201,0.0,2.0,0.0,1.0,2.0,0.0,Breaks Leaks,"['Breaks Leaks', 'Equity']"
17031010202,0.0,2.0,0.0,0.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031010300,0.0,6.0,22.0,0.0,0.0,2.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031010400,0.0,2.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031010501,0.0,3.0,0.0,0.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031010502,0.0,4.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031010503,0.0,5.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031010600,0.0,10.0,0.0,0.0,1.0,2.0,Breaks Leaks,['Breaks Leaks']
17031010701,0.0,7.0,0.0,1.0,4.0,0.0,Breaks Leaks,['Breaks Leaks']
17031010702,0.0,1.0,0.0,0.0,1.0,1.0,Breaks Leaks,"['Breaks Leaks', 'Equity', 'Homeowner Initiated']"
17031020100,0.0,4.0,0.0,1.0,2.0,0.0,Breaks Leaks,['Breaks Leaks']
17031020200,0.0,22.0,0.0,0.0,5.0,9.0,Breaks Leaks,['Breaks Leaks']
17031020301,0.0,8.0,0.0,0.0,8.0,3.0,Breaks Leaks,"['Breaks Leaks', 'Equity']"
17031020302,0.0,7.0,0.0,2.0,6.0,1.0,Breaks Leaks,['Breaks Leaks']
17031020400,0.0,4.0,0.0,0.0,1.0,2.0,Breaks Leaks,['Breaks Leaks']
17031020500,0.0,1.0,0.0,0.0,1.0,0.0,Breaks Leaks,"['Breaks Leaks', 'Equity']"
17031020601,0.0,18.0,0.0,0.0,4.0,0.0,Breaks Leaks,['Breaks Leaks']
17031020602,0.0,8.0,0.0,0.0,3.0,1.0,Breaks Leaks,['Breaks Leaks']
17031020701,0.0,11.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031020702,0.0,17.0,0.0,1.0,4.0,0.0,Breaks Leaks,['Breaks Leaks']
17031020801,0.0,11.0,0.0,4.0,6.0,2.0,Breaks Leaks,['Breaks Leaks']
17031020802,0.0,18.0,7.0,1.0,5.0,2.0,Breaks Leaks,['Breaks Leaks']
17031020901,0.0,5.0,0.0,2.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031020902,0.0,0.0,0.0,0.0,1.0,0.0,Equity,['Equity']
17031030102,0.0,0.0,0.0,0.0,0.0,1.0,Homeowner Initiated,['Homeowner Initiated']
17031030103,0.0,2.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031030200,0.0,11.0,0.0,1.0,3.0,7.0,Breaks Leaks,['Breaks Leaks']
17031030300,0.0,4.0,1.0,0.0,2.0,1.0,Breaks Leaks,['Breaks Leaks']
17031030400,0.0,5.0,0.0,0.0,0.0,3.0,Breaks Leaks,['Breaks Leaks']
17031030500,0.0,13.0,35.0,0.0,1.0,3.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031030601,0.0,2.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031030603,0.0,1.0,0.0,0.0,0.0,1.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031030701,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031030703,0.0,0.0,0.0,2.0,1.0,1.0,Daycare,['Daycare']
17031030706,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031030800,0.0,15.0,0.0,0.0,0.0,20.0,Homeowner Initiated,['Homeowner Initiated']
17031030900,0.0,5.0,0.0,0.0,0.0,6.0,Homeowner Initiated,['Homeowner Initiated']
17031031000,0.0,5.0,0.0,0.0,1.0,5.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031031100,0.0,13.0,0.0,0.0,0.0,7.0,Breaks Leaks,['Breaks Leaks']
17031031200,0.0,3.0,0.0,2.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031031300,0.0,1.0,0.0,0.0,0.0,4.0,Homeowner Initiated,['Homeowner Initiated']
17031031400,0.0,3.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031031501,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031031502,0.0,1.0,0.0,1.0,0.0,0.0,Breaks Leaks,"['Breaks Leaks', 'Daycare']"
17031031700,0.0,3.0,0.0,1.0,0.0,3.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031031800,0.0,2.0,0.0,0.0,1.0,1.0,Breaks Leaks,['Breaks Leaks']
17031031900,0.0,3.0,11.0,0.0,0.0,2.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031032100,0.0,2.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031040100,0.0,7.0,0.0,1.0,1.0,12.0,Homeowner Initiated,['Homeowner Initiated']
17031040201,0.0,15.0,0.0,0.0,2.0,11.0,Breaks Leaks,['Breaks Leaks']
17031040202,0.0,9.0,0.0,0.0,3.0,3.0,Breaks Leaks,['Breaks Leaks']
17031040300,0.0,10.0,0.0,0.0,0.0,4.0,Breaks Leaks,['Breaks Leaks']
17031040401,0.0,10.0,0.0,1.0,3.0,7.0,Breaks Leaks,['Breaks Leaks']
17031040402,0.0,4.0,0.0,0.0,0.0,5.0,Homeowner Initiated,['Homeowner Initiated']
17031040600,0.0,3.0,0.0,0.0,0.0,4.0,Homeowner Initiated,['Homeowner Initiated']
17031040700,0.0,6.0,0.0,1.0,2.0,11.0,Homeowner Initiated,['Homeowner Initiated']
17031040800,0.0,6.0,0.0,0.0,2.0,6.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031040900,0.0,5.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031050100,0.0,4.0,0.0,0.0,0.0,5.0,Homeowner Initiated,['Homeowner Initiated']
17031050200,0.0,6.0,0.0,0.0,0.0,4.0,Breaks Leaks,['Breaks Leaks']
17031050300,0.0,12.0,0.0,0.0,2.0,4.0,Breaks Leaks,['Breaks Leaks']
17031050500,0.0,10.0,0.0,0.0,0.0,18.0,Homeowner Initiated,['Homeowner Initiated']
17031050600,0.0,2.0,0.0,0.0,0.0,3.0,Homeowner Initiated,['Homeowner Initiated']
17031050700,0.0,4.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031050800,0.0,4.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031050900,0.0,6.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031051000,0.0,6.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031051100,0.0,4.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031051300,0.0,8.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031051400,0.0,2.0,8.0,0.0,0.0,0.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031060100,0.0,3.0,13.0,0.0,1.0,3.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031060200,0.0,1.0,0.0,0.0,0.0,6.0,Homeowner Initiated,['Homeowner Initiated']
17031060300,0.0,4.0,0.0,0.0,0.0,14.0,Homeowner Initiated,['Homeowner Initiated']
17031060400,0.0,3.0,0.0,0.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031060500,0.0,1.0,0.0,0.0,0.0,2.0,Homeowner Initiated,['Homeowner Initiated']
17031060800,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031060900,0.0,2.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031061000,0.0,1.0,0.0,0.0,0.0,5.0,Homeowner Initiated,['Homeowner Initiated']
17031061100,0.0,2.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031061200,0.0,3.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031061500,0.0,0.0,0.0,0.0,2.0,6.0,Homeowner Initiated,['Homeowner Initiated']
17031061901,0.0,4.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031062000,0.0,6.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031062100,0.0,3.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031062200,0.0,3.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031062300,0.0,1.0,0.0,0.0,0.0,1.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031062400,0.0,0.0,0.0,0.0,1.0,2.0,Homeowner Initiated,['Homeowner Initiated']
17031062500,0.0,3.0,0.0,0.0,0.0,4.0,Homeowner Initiated,['Homeowner Initiated']
17031062600,0.0,3.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031062700,0.0,1.0,0.0,0.0,0.0,3.0,Homeowner Initiated,['Homeowner Initiated']
17031062800,0.0,4.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031062900,0.0,2.0,0.0,0.0,0.0,8.0,Homeowner Initiated,['Homeowner Initiated']
17031063000,0.0,4.0,0.0,0.0,1.0,1.0,Breaks Leaks,['Breaks Leaks']
17031063100,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031063200,0.0,6.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031063301,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031063302,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031063303,0.0,0.0,0.0,0.0,0.0,2.0,Homeowner Initiated,['Homeowner Initiated']
17031063400,0.0,1.0,0.0,0.0,0.0,2.0,Homeowner Initiated,['Homeowner Initiated']
17031070101,0.0,1.0,0.0,0.0,0.0,1.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031070102,0.0,3.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031070103,0.0,0.0,0.0,0.0,0.0,1.0,Homeowner Initiated,['Homeowner Initiated']
17031070200,0.0,4.0,0.0,0.0,0.0,7.0,Homeowner Initiated,['Homeowner Initiated']
17031070300,0.0,3.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031070400,0.0,4.0,0.0,0.0,0.0,3.0,Breaks Leaks,['Breaks Leaks']
17031070500,0.0,2.0,16.0,0.0,0.0,2.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031070600,0.0,3.0,6.0,0.0,0.0,1.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031070700,0.0,3.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031071000,0.0,6.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031071100,0.0,0.0,0.0,0.0,0.0,4.0,Homeowner Initiated,['Homeowner Initiated']
17031071200,0.0,1.0,0.0,0.0,0.0,1.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031071300,0.0,1.0,0.0,0.0,0.0,5.0,Homeowner Initiated,['Homeowner Initiated']
17031071400,0.0,2.0,0.0,0.0,0.0,2.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031071500,0.0,4.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031071600,0.0,2.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031071700,0.0,3.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031071800,0.0,4.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031080100,0.0,4.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031080201,0.0,1.0,0.0,0.0,0.0,1.0,Breaks Leaks,"['Breaks Leaks', 'Homeowner Initiated']"
17031080202,0.0,0.0,0.0,0.0,0.0,1.0,Homeowner Initiated,['Homeowner Initiated']
17031080300,0.0,1.0,0.0,0.0,0.0,2.0,Homeowner Initiated,['Homeowner Initiated']
17031080400,0.0,1.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031081100,0.0,0.0,2.0,0.0,0.0,0.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031081201,0.0,0.0,15.0,0.0,0.0,0.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031081202,0.0,1.0,1.0,0.0,0.0,0.0,Breaks Leaks,"['Breaks Leaks', 'CIP Sewer and Water Main']"
17031081403,0.0,0.0,2.0,0.0,0.0,0.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031081700,0.0,2.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031081800,0.0,2.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031090100,0.0,31.0,0.0,1.0,3.0,2.0,Breaks Leaks,['Breaks Leaks']
17031090200,0.0,52.0,0.0,0.0,2.0,6.0,Breaks Leaks,['Breaks Leaks']
17031090300,0.0,13.0,0.0,0.0,2.0,3.0,Breaks Leaks,['Breaks Leaks']
17031100100,0.0,33.0,21.0,0.0,4.0,1.0,Breaks Leaks,['Breaks Leaks']
17031100200,0.0,77.0,21.0,0.0,4.0,3.0,Breaks Leaks,['Breaks Leaks']
17031100300,0.0,41.0,21.0,0.0,9.0,6.0,Breaks Leaks,['Breaks Leaks']
17031100400,0.0,25.0,0.0,0.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031100500,0.0,46.0,0.0,0.0,6.0,2.0,Breaks Leaks,['Breaks Leaks']
17031100600,0.0,52.0,0.0,0.0,6.0,0.0,Breaks Leaks,['Breaks Leaks']
17031100700,0.0,51.0,0.0,0.0,9.0,1.0,Breaks Leaks,['Breaks Leaks']
17031110100,0.0,54.0,0.0,0.0,4.0,5.0,Breaks Leaks,['Breaks Leaks']
17031110200,0.0,14.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031110300,0.0,21.0,0.0,0.0,5.0,4.0,Breaks Leaks,['Breaks Leaks']
17031110400,0.0,27.0,0.0,0.0,8.0,1.0,Breaks Leaks,['Breaks Leaks']
17031110501,0.0,31.0,0.0,0.0,6.0,1.0,Breaks Leaks,['Breaks Leaks']
17031110502,0.0,10.0,11.0,0.0,0.0,2.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031120100,0.0,13.0,0.0,0.0,1.0,2.0,Breaks Leaks,['Breaks Leaks']
17031120200,0.0,24.0,0.0,0.0,3.0,3.0,Breaks Leaks,['Breaks Leaks']
17031120300,0.0,32.0,0.0,0.0,3.0,7.0,Breaks Leaks,['Breaks Leaks']
17031120400,0.0,30.0,59.0,0.0,3.0,1.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031130100,0.0,23.0,0.0,0.0,7.0,4.0,Breaks Leaks,['Breaks Leaks']
17031130200,0.0,15.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031130300,0.0,25.0,0.0,0.0,4.0,1.0,Breaks Leaks,['Breaks Leaks']
17031140100,0.0,6.0,0.0,0.0,1.0,5.0,Breaks Leaks,['Breaks Leaks']
17031140200,0.0,10.0,0.0,0.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031140301,0.0,1.0,13.0,0.0,0.0,2.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031140302,0.0,27.0,0.0,0.0,2.0,2.0,Breaks Leaks,['Breaks Leaks']
17031140400,0.0,38.0,32.0,0.0,5.0,4.0,Breaks Leaks,['Breaks Leaks']
17031140500,0.0,15.0,0.0,0.0,2.0,2.0,Breaks Leaks,['Breaks Leaks']
17031140601,0.0,8.0,0.0,0.0,2.0,2.0,Breaks Leaks,['Breaks Leaks']
17031140602,0.0,16.0,0.0,0.0,0.0,2.0,Breaks Leaks,['Breaks Leaks']
17031140701,0.0,10.0,0.0,0.0,0.0,1.0,Breaks Leaks,['Breaks Leaks']
17031140702,0.0,11.0,0.0,0.0,3.0,2.0,Breaks Leaks,['Breaks Leaks']
17031140800,0.0,24.0,0.0,0.0,3.0,8.0,Breaks Leaks,['Breaks Leaks']
17031150200,0.0,40.0,0.0,0.0,4.0,4.0,Breaks Leaks,['Breaks Leaks']
17031150300,0.0,43.0,0.0,0.0,6.0,5.0,Breaks Leaks,['Breaks Leaks']
17031150401,0.0,28.0,35.0,0.0,2.0,0.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031150402,0.0,26.0,0.0,0.0,5.0,5.0,Breaks Leaks,['Breaks Leaks']
17031150501,0.0,17.0,0.0,0.0,4.0,2.0,Breaks Leaks,['Breaks Leaks']
17031150502,0.0,23.0,0.0,0.0,7.0,3.0,Breaks Leaks,['Breaks Leaks']
17031150600,0.0,32.0,0.0,0.0,6.0,6.0,Breaks Leaks,['Breaks Leaks']
17031150700,0.0,41.0,0.0,0.0,7.0,3.0,Breaks Leaks,['Breaks Leaks']
17031150800,0.0,23.0,0.0,0.0,4.0,3.0,Breaks Leaks,['Breaks Leaks']
17031151001,0.0,9.0,0.0,0.0,3.0,1.0,Breaks Leaks,['Breaks Leaks']
17031151002,0.0,20.0,0.0,0.0,5.0,2.0,Breaks Leaks,['Breaks Leaks']
17031151100,0.0,21.0,0.0,0.0,5.0,2.0,Breaks Leaks,['Breaks Leaks']
17031151200,0.0,26.0,0.0,0.0,5.0,3.0,Breaks Leaks,['Breaks Leaks']
17031160100,0.0,10.0,0.0,0.0,3.0,5.0,Breaks Leaks,['Breaks Leaks']
17031160200,0.0,24.0,0.0,0.0,0.0,3.0,Breaks Leaks,['Breaks Leaks']
17031160300,0.0,7.0,0.0,0.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031160400,0.0,14.0,0.0,0.0,1.0,3.0,Breaks Leaks,['Breaks Leaks']
17031160501,0.0,10.0,0.0,0.0,2.0,2.0,Breaks Leaks,['Breaks Leaks']
17031160502,0.0,9.0,0.0,0.0,6.0,5.0,Breaks Leaks,['Breaks Leaks']
17031160601,0.0,7.0,0.0,0.0,2.0,5.0,Breaks Leaks,['Breaks Leaks']
17031160602,0.0,9.0,0.0,0.0,1.0,2.0,Breaks Leaks,['Breaks Leaks']
17031160700,0.0,16.0,0.0,0.0,1.0,6.0,Breaks Leaks,['Breaks Leaks']
17031160800,0.0,12.0,0.0,0.0,4.0,4.0,Breaks Leaks,['Breaks Leaks']
17031160900,0.0,12.0,0.0,0.0,1.0,1.0,Breaks Leaks,['Breaks Leaks']
17031161000,0.0,11.0,0.0,0.0,2.0,4.0,Breaks Leaks,['Breaks Leaks']
17031161100,0.0,15.0,0.0,0.0,0.0,4.0,Breaks Leaks,['Breaks Leaks']
17031161200,0.0,8.0,0.0,0.0,1.0,1.0,Breaks Leaks,['Breaks Leaks']
17031161300,0.0,11.0,0.0,0.0,2.0,2.0,Breaks Leaks,['Breaks Leaks']
17031170200,0.0,18.0,0.0,0.0,3.0,0.0,Breaks Leaks,['Breaks Leaks']
17031170300,0.0,42.0,0.0,0.0,4.0,0.0,Breaks Leaks,['Breaks Leaks']
17031170400,0.0,26.0,0.0,0.0,5.0,1.0,Breaks Leaks,['Breaks Leaks']
17031170500,0.0,24.0,0.0,0.0,2.0,0.0,Breaks Leaks,['Breaks Leaks']
17031170600,0.0,12.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031170700,0.0,20.0,0.0,0.0,4.0,0.0,Breaks Leaks,['Breaks Leaks']
17031170800,0.0,32.0,0.0,0.0,7.0,1.0,Breaks Leaks,['Breaks Leaks']
17031170900,0.0,7.0,0.0,0.0,4.0,0.0,Breaks Leaks,['Breaks Leaks']
17031171000,0.0,46.0,0.0,0.0,2.0,3.0,Breaks Leaks,['Breaks Leaks']
17031171100,0.0,20.0,0.0,0.0,6.0,1.0,Breaks Leaks,['Breaks Leaks']
17031180100,0.0,32.0,0.0,0.0,5.0,1.0,Breaks Leaks,['Breaks Leaks']
17031190100,0.0,10.0,0.0,0.0,2.0,1.0,Breaks Leaks,['Breaks Leaks']
17031190200,0.0,26.0,0.0,0.0,4.0,0.0,Breaks Leaks,['Breaks Leaks']
17031190300,0.0,31.0,0.0,0.0,5.0,0.0,Breaks Leaks,['Breaks Leaks']
17031190401,15.0,21.0,0.0,0.0,6.0,0.0,Breaks Leaks,['Breaks Leaks']
17031190402,0.0,34.0,0.0,2.0,3.0,0.0,Breaks Leaks,['Breaks Leaks']
17031190601,0.0,14.0,0.0,0.0,2.0,0.0,Breaks Leaks,['Breaks Leaks']
17031190602,0.0,25.0,56.0,2.0,4.0,2.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031190701,0.0,19.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031190702,0.0,16.0,0.0,2.0,4.0,1.0,Breaks Leaks,['Breaks Leaks']
17031190800,0.0,26.0,0.0,0.0,3.0,0.0,Breaks Leaks,['Breaks Leaks']
17031190900,0.0,11.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031191000,0.0,9.0,0.0,0.0,2.0,0.0,Breaks Leaks,['Breaks Leaks']
17031191100,0.0,10.0,0.0,0.0,2.0,0.0,Breaks Leaks,['Breaks Leaks']
17031191200,0.0,6.0,0.0,0.0,0.0,0.0,Breaks Leaks,['Breaks Leaks']
17031191301,0.0,12.0,0.0,0.0,1.0,0.0,Breaks Leaks,['Breaks Leaks']
17031191302,0.0,18.0,0.0,0.0,3.0,1.0,Breaks Leaks,['Breaks Leaks']
17031200100,0.0,20.0,0.0,0.0,1.0,2.0,Breaks Leaks,['Breaks Leaks']
17031200200,0.0,13.0,0.0,0.0,3.0,2.0,Breaks Leaks,['Breaks Leaks']
17031200300,0.0,11.0,0.0,1.0,3.0,0.0,Breaks Leaks,['Breaks Leaks']
17031200401,0.0,15.0,0.0,0.0,2.0,0.0,Breaks Leaks,['Breaks Leaks']
17031200402,0.0,13.0,0.0,1.0,4.0,1.0,Breaks Leaks,['Breaks Leaks']
17031210100,0.0,14.0,0.0,0.0,1.0,6.0,Breaks Leaks,['Breaks Leaks']
17031210400,0.0,9.0,0.0,0.0,2.0,0.0,Breaks Leaks,['Breaks Leaks']
17031210501,0.0,12.0,0.0,0.0,0.0,5.0,Breaks Leaks,['Breaks Leaks']
17031210502,0.0,9.0,0.0,0.0,0.0,4.0,Breaks Leaks,['Breaks Leaks']
17031210601,0.0,15.0,0.0,0.0,0.0,5.0,Breaks Leaks,['Breaks Leaks']
17031210602,0.0,7.0,0.0,0.0,0.0,3.0,Breaks Leaks,['Breaks Leaks']
17031210700,0.0,18.0,0.0,0.0,2.0,2.0,Breaks Leaks,['Breaks Leaks']
17031210800,0.0,2.0,0.0,0.0,1.0,3.0,Homeowner Initiated,['Homeowner Initiated']
17031210900,0.0,11.0,0.0,0.0,2.0,3.0,Breaks Leaks,['Breaks Leaks']
17031220300,0.0,11.0,0.0,0.0,2.0,2.0,Breaks Leaks,['Breaks Leaks']
17031220400,0.0,9.0,0.0,0.0,3.0,14.0,Homeowner Initiated,['Homeowner Initiated']
17031220500,0.0,12.0,34.0,0.0,0.0,8.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031220601,0.0,10.0,0.0,0.0,1.0,3.0,Breaks Leaks,['Breaks Leaks']
17031220602,0.0,13.0,0.0,0.0,1.0,12.0,Breaks Leaks,['Breaks Leaks']
17031220701,0.0,13.0,0.0,0.0,1.0,2.0,Breaks Leaks,['Breaks Leaks']
17031220702,0.0,19.0,0.0,1.0,4.0,2.0,Breaks Leaks,['Breaks Leaks']
17031220901,0.0,14.0,0.0,0.0,1.0,3.0,Breaks Leaks,['Breaks Leaks']
17031220902,0.0,12.0,0.0,0.0,3.0,5.0,Breaks Leaks,['Breaks Leaks']
17031221000,0.0,4.0,0.0,0.0,1.0,3.0,Breaks Leaks,['Breaks Leaks']
17031221100,0.0,12.0,0.0,0.0,1.0,6.0,Breaks Leaks,['Breaks Leaks']
17031221200,0.0,8.0,10.0,0.0,2.0,5.0,CIP Sewer and Water Main,['CIP Sewer and Water Main']
17031221300,0.0,5.0,0.0,0.0,0.0,6.0,Homeowner Initiated,['Homeowner Initiated']
