GEOID,Block Level LSLR,Breaks Leaks,CIP Sewer and Water Main,Daycare,Equity,Homeowner Initiated,Total
17031010100,0,3,5,0,1,0,9
17031010201,0,2,0,1,2,0,5
17031010202,0,2,0,0,0,0,2
17031010300,0,5,22,0,0,2,29
17031010400,0,2,0,0,0,0,2
17031010501,0,3,0,0,1,0,4
17031010502,0,4,0,0,0,0,4
17031010503,0,5,0,0,0,2,7
17031010600,0,9,0,0,1,2,12
17031010701,0,7,0,1,4,0,12
17031010702,0,1,0,0,1,1,3
17031020100,0,4,0,1,2,0,7
17031020200,0,18,0,0,5,8,31
17031020301,0,8,0,0,8,3,19
17031020302,0,6,0,1,6,0,13
17031020400,0,3,0,0,1,2,6
17031020500,0,1,0,0,1,0,2
17031020601,0,16,0,0,3,0,19
17031020602,0,7,0,0,3,1,11
17031020701,0,10,0,0,0,1,11
17031020702,0,15,0,1,4,0,20
17031020801,0,10,0,4,6,2,22
17031020802,0,16,7,1,3,2,29
17031020901,0,5,0,2,1,0,8
17031020902,0,0,0,0,1,0,1
17031030102,0,0,0,0,0,1,1
17031030103,0,2,0,0,0,0,2
17031030200,0,10,0,1,2,6,19
17031030300,0,4,1,0,2,1,8
17031030400,0,4,0,0,0,3,7
17031030500,0,12,2,0,1,2,17
17031030601,0,2,0,0,0,0,2
17031030603,0,1,0,0,0,1,2
17031030701,0,1,0,0,0,0,1
17031030703,0,0,0,2,1,1,4
17031030706,0,1,0,0,0,0,1
17031030800,0,13,0,0,0,18,31
17031030900,0,4,0,0,0,6,10
17031031000,0,4,0,0,1,5,10
17031031100,0,11,0,0,0,7,18
17031031200,0,2,0,2,0,0,4
17031031300,0,1,0,0,0,4,5
17031031400,0,3,0,0,0,2,5
17031031502,0,1,0,0,0,0,1
17031031700,0,3,0,1,0,3,7
17031031800,0,2,0,0,1,1,4
17031031900,0,3,2,0,0,2,7
17031032100,0,2,0,0,0,0,2
17031040100,0,5,0,1,1,12,19
17031040201,0,14,0,0,2,10,26
17031040202,0,7,0,0,3,3,13
17031040300,0,8,0,0,0,3,11
17031040401,0,10,0,1,3,6,20
17031040402,0,2,0,0,0,3,5
17031040600,0,2,0,0,0,4,6
17031040700,0,6,0,1,2,9,18
17031040800,0,6,0,0,2,6,14
17031040900,0,4,0,0,0,1,5
17031050100,0,3,0,0,0,5,8
17031050200,0,6,0,0,0,4,10
17031050300,0,11,0,0,2,3,16
17031050500,0,8,0,0,0,17,25
17031050600,0,1,0,0,0,3,4
17031050700,0,4,0,0,0,2,6
17031050800,0,3,0,0,0,1,4
17031050900,0,5,0,0,0,2,7
17031051000,0,6,0,0,0,0,6
17031051100,0,4,0,0,0,0,4
17031051300,0,6,0,0,0,1,7
17031051400,0,1,0,0,0,0,1
17031060100,0,3,13,0,1,3,20
17031060200,0,1,0,0,0,4,5
17031060300,0,3,0,0,0,13,16
17031060400,0,3,0,0,1,0,4
17031060500,0,1,0,0,0,2,3
17031060800,0,1,0,0,0,0,1
17031060900,0,2,0,0,0,0,2
17031061000,0,1,0,0,0,1,2
17031061100,0,2,0,0,0,0,2
17031061200,0,3,0,0,0,1,4
17031061500,0,0,0,0,2,5,7
17031061901,0,4,0,0,0,0,4
17031062000,0,5,0,0,0,2,7
17031062100,0,2,0,0,0,0,2
17031062200,0,2,0,0,0,0,2
17031062300,0,1,0,0,0,0,1
17031062400,0,0,0,0,1,1,2
17031062500,0,2,0,0,0,3,5
17031062600,0,3,0,0,0,2,5
17031062700,0,1,0,0,0,3,4
17031062800,0,3,0,0,0,2,5
17031062900,0,2,0,0,0,8,10
17031063000,0,4,0,0,1,1,6
17031063100,0,1,0,0,0,0,1
17031063200,0,6,0,0,0,0,6
17031063301,0,1,0,0,0,0,1
17031063302,0,1,0,0,0,0,1
17031063303,0,0,0,0,0,2,2
17031063400,0,1,0,0,0,1,2
17031070101,0,0,0,0,0,1,1
17031070102,0,3,0,0,0,0,3
17031070103,0,0,0,0,0,1,1
17031070200,0,4,0,0,0,5,9
17031070300,0,3,0,0,0,2,5
17031070400,0,4,0,0,0,3,7
17031070500,0,2,16,0,0,2,20
17031070600,0,3,6,0,0,1,10
17031070700,0,3,0,0,0,2,5
17031071000,0,6,0,0,0,1,7
17031071100,0,0,0,0,0,3,3
17031071200,0,1,0,0,0,0,1
17031071300,0,1,0,0,0,4,5
17031071400,0,2,0,0,0,1,3
17031071500,0,4,0,0,0,1,5
17031071600,0,2,0,0,0,1,3
17031071700,0,3,0,0,0,2,5
17031071800,0,4,0,0,0,1,5
17031080100,0,3,0,0,0,1,4
17031080201,0,0,0,0,0,1,1
17031080202,0,0,0,0,0,1,1
17031080300,0,1,0,0,0,2,3
17031081100,0,0,2,0,0,0,2
17031081201,0,0,15,0,0,0,15
17031081202,0,1,1,0,0,0,2
17031081403,0,0,2,0,0,0,2
17031081700,0,1,0,0,0,0,1
17031081800,0,2,0,0,0,0,2
17031090100,0,29,0,0,3,2,34
17031090200,0,37,0,0,2,6,45
17031090300,0,12,0,0,2,2,16
17031100100,0,27,21,0,4,1,53
17031100200,0,66,21,0,4,1,92
17031100300,0,37,21,0,8,5,71
17031100400,0,21,0,0,1,0,22
17031100500,0,34,0,0,6,2,42
17031100600,0,46,0,0,6,0,52
17031100700,0,43,0,0,8,1,52
17031110100,0,52,0,0,4,4,60
17031110200,0,13,0,0,0,0,13
17031110300,0,18,0,0,5,3,26
17031110400,0,19,0,0,7,1,27
17031110501,0,27,0,0,5,1,33
17031110502,0,9,2,0,0,2,13
17031120100,0,10,0,0,1,2,13
17031120200,0,20,0,0,3,2,25
17031120300,0,25,0,0,2,5,32
17031120400,0,25,43,0,3,1,72
17031130100,0,19,0,0,7,4,30
17031130200,0,12,0,0,0,0,12
17031130300,0,22,0,0,4,1,27
17031140100,0,6,0,0,1,5,12
17031140200,0,9,0,0,1,0,10
17031140301,0,1,13,0,0,2,16
17031140302,0,25,0,0,2,1,28
17031140400,0,32,32,0,4,2,70
17031140500,0,14,0,0,1,2,17
17031140601,0,8,0,0,2,2,12
17031140602,0,14,0,0,0,1,15
17031140701,0,10,0,0,0,1,11
17031140702,0,11,0,0,3,2,16
17031140800,0,22,0,0,3,7,32
17031150200,0,35,0,0,4,4,43
17031150300,0,37,0,0,6,4,47
17031150401,0,25,35,0,2,0,62
17031150402,0,20,0,0,5,4,29
17031150501,0,12,0,0,3,2,17
17031150502,0,19,0,0,7,3,29
17031150600,0,29,0,0,6,3,38
17031150700,0,35,0,0,7,3,45
17031150800,0,16,0,0,4,2,22
17031151001,0,6,0,0,2,1,9
17031151002,0,19,0,0,4,2,25
17031151100,0,14,0,0,5,2,21
17031151200,0,22,0,0,5,3,30
17031160100,0,9,0,0,2,5,16
17031160200,0,23,0,0,0,3,26
17031160300,0,6,0,0,1,0,7
17031160400,0,13,0,0,1,3,17
17031160501,0,7,0,0,2,2,11
17031160502,0,7,0,0,6,4,17
17031160601,0,6,0,0,2,3,11
17031160602,0,8,0,0,1,1,10
17031160700,0,15,0,0,1,5,21
17031160800,0,12,0,0,4,4,20
17031160900,0,7,0,0,1,1,9
17031161000,0,9,0,0,2,4,15
17031161100,0,14,0,0,0,2,16
17031161200,0,8,0,0,1,1,10
17031161300,0,10,0,0,2,2,14
17031170200,0,18,0,0,3,0,21
17031170300,0,31,0,0,4,0,35
17031170400,0,15,0,0,5,1,21
17031170500,0,21,0,0,1,0,22
17031170600,0,10,0,0,0,0,10
17031170700,0,17,0,0,4,0,21
17031170800,0,27,0,0,7,1,35
17031170900,0,6,0,0,4,0,10
17031171000,0,40,0,0,2,3,45
17031171100,0,14,0,0,6,1,21
17031180100,0,32,0,0,4,1,37
17031190100,0,7,0,0,2,1,10
17031190200,0,23,0,0,4,0,27
17031190300,0,29,0,0,3,0,32
17031190401,0,19,0,0,6,0,25
17031190402,0,32,0,2,3,0,37
17031190601,0,11,0,0,2,0,13
17031190602,0,21,1,1,4,2,29
17031190701,0,17,0,0,0,0,17
17031190702,0,12,0,2,4,1,19
17031190800,0,26,0,0,3,0,29
17031190900,0,9,0,0,0,0,9
17031191000,0,9,0,0,2,0,11
17031191100,0,10,0,0,2,0,12
17031191200,0,6,0,0,0,0,6
17031191301,0,12,0,0,1,0,13
17031191302,0,16,0,0,3,1,20
17031200100,0,17,0,0,1,1,19
17031200200,0,11,0,0,3,2,16
17031200300,0,8,0,1,3,0,12
17031200401,0,12,0,0,2,0,14
17031200402,0,13,0,1,4,1,19
17031210100,0,14,0,0,1,5,20
17031210400,0,7,0,0,2,0,9
17031210501,0,12,0,0,0,3,15
17031210502,0,7,0,0,0,4,11
17031210601,0,14,0,0,0,4,18
17031210602,0,5,0,0,0,3,8
17031210700,0,15,0,0,2,2,19
17031210800,0,2,0,0,1,3,6
17031210900,0,9,0,0,2,3,14
17031220300,0,10,0,0,2,2,14
17031220400,0,8,0,0,3,14,25
17031220500,0,8,34,0,0,7,49
17031220601,0,9,0,0,1,3,13
17031220602,0,13,0,0,1,12,26
17031220701,0,9,0,0,1,2,12
17031220702,0,18,0,1,4,2,25
17031220901,0,14,0,0,1,3,18
17031220902,0,10,0,0,3,4,17
17031221000,0,4,0,0,1,3,8
17031221100,0,10,0,0,1,4,15
17031221200,0,8,10,0,2,4,24
17031221300,0,2,0,0,0,6,8
17031221400,0,12,0,0,0,4,16
17031221500,0,2,0,0,2,5,9
17031221600,0,9,0,0,0,10,19
17031222200,0,5,0,0,3,0,8
17031222500,0,0,0,0,0,2,2
17031222600,0,3,0,0,3,3,9
17031222700,0,4,1,0,0,0,5
17031222800,0,2,0,0,1,0,3
17031222900,0,4,0,0,0,0,4
17031230100,0,4,0,0,0,2,6
17031230200,0,9,0,0,1,1,11
17031230300,0,0,0,0,1,1,2
17031230400,0,8,0,0,1,3,12
17031230500,0,10,0,0,2,1,13
17031230600,0,19,0,0,7,0,26
17031230700,0,20,0,0,5,2,27
17031230800,0,4,0,0,0,0,4
17031230900,0,14,0,0,3,4,21
17031231100,0,5,0,1,4,2,12
17031231200,0,17,58,0,4,2,81
17031231500,7,23,1,0,1,1,33
17031240200,0,1,0,0,0,0,1
17031240300,0,7,0,0,0,1,8
17031240500,0,3,0,0,0,0,3
17031240600,0,1,0,0,0,2,3
17031240700,0,5,0,0,0,4,9
17031240800,0,6,0,0,1,1,8
17031240900,0,6,0,0,0,2,8
17031241000,0,5,1,0,0,2,8
17031241100,0,5,13,0,1,6,25
17031241200,0,8,0,0,1,3,12
17031241300,0,1,12,0,0,6,19
17031241400,0,6,12,0,0,6,24
17031241500,0,2,0,0,0,2,4
17031241600,0,4,0,0,0,3,7
17031242000,0,12,0,0,1,1,14
17031242100,0,3,0,0,0,3,6
17031242200,0,2,0,0,0,7,9
17031242300,0,14,40,0,0,7,61
17031242400,0,8,0,0,0,4,12
17031242500,0,12,0,0,0,4,16
17031242600,0,13,13,0,1,5,32
17031242700,0,4,0,0,0,0,4
17031242800,0,6,0,0,1,8,15
17031242900,0,10,0,0,0,3,13
17031243000,0,0,0,0,0,3,3
17031243100,0,1,0,0,1,1,3
17031243200,0,5,0,0,0,2,7
17031243300,0,5,0,0,0,2,7
17031243400,0,10,9,0,0,5,24
17031243500,0,2,16,0,0,1,19
17031250200,0,12,0,2,2,0,16
17031250300,0,19,0,4,5,1,29
17031250400,0,32,0,0,11,0,43
17031250500,0,81,0,0,11,1,93
17031250600,0,24,0,3,18,1,46
17031250700,0,24,0,5,9,1,39
17031250800,0,14,0,0,5,0,19
17031251000,0,1,0,0,0,0,1
17031251100,0,17,0,4,9,0,30
17031251200,0,20,0,5,8,1,34
17031251300,0,29,0,9,13,3,54
17031251400,0,25,0,5,6,2,38
17031251500,0,8,0,8,2,0,18
17031251600,0,17,0,3,7,0,27
17031251700,0,7,0,1,3,0,11
17031251800,0,9,0,5,3,2,19
17031251900,0,11,0,2,5,0,18
17031252000,19,10,19,2,3,0,53
17031252101,0,2,0,1,0,0,3
17031252102,0,20,0,5,13,0,38
17031252201,0,6,0,3,3,0,12
17031252202,0,15,0,3,6,0,24
17031260100,0,3,0,1,0,0,4
17031260200,0,5,0,3,1,0,9
17031260300,0,2,0,0,1,0,3
17031260400,0,5,0,1,1,0,7
17031260500,0,5,0,5,0,0,10
17031260600,0,11,0,1,2,2,16
17031260700,0,7,0,2,3,1,13
17031260800,0,8,0,2,0,2,12
17031260900,0,9,0,1,1,2,13
17031261000,0,13,0,1,4,2,20
17031270500,0,2,0,0,2,0,4
17031271200,0,4,0,1,0,0,5
17031271300,0,4,0,1,1,1,7
17031271400,0,4,0,4,1,0,9
17031271500,0,5,0,0,0,0,5
17031271800,0,8,0,1,0,0,9
17031280400,0,1,0,0,0,0,1
17031280800,0,2,0,0,0,0,2
17031282700,0,4,0,0,4,0,8
17031282800,0,3,0,0,0,0,3
17031283100,0,1,0,0,0,2,3
17031283200,0,3,0,0,0,0,3
17031290900,0,16,0,3,1,1,21
17031291200,0,9,0,1,1,1,12
17031291600,0,2,0,0,0,0,2
17031292200,0,11,0,0,3,2,16
17031292400,0,5,0,1,0,2,8
17031292500,0,20,0,2,2,0,24
17031300500,0,6,0,0,1,0,7
17031300600,0,11,0,1,1,1,14
17031300700,0,8,0,1,2,1,12
17031300800,0,11,0,0,0,0,11
17031300900,0,13,0,0,0,2,15
17031301100,0,14,0,0,2,1,17
17031301200,0,8,0,1,2,2,13
17031301600,0,26,0,0,0,0,26
17031301701,0,12,0,0,2,0,14
17031301702,0,10,0,1,1,0,12
17031301801,0,15,0,0,1,0,16
17031301802,0,13,0,2,1,0,16
17031301803,0,14,0,0,2,0,16
17031310200,0,4,0,0,2,0,6
17031310300,0,4,0,0,1,1,6
17031310400,0,3,0,0,0,0,3
17031310500,0,6,0,0,0,1,7
17031310600,0,14,0,0,0,5,19
17031310700,0,3,0,0,0,0,3
17031310800,0,14,0,0,2,2,18
17031310900,0,31,0,0,4,5,40
17031340300,0,1,0,0,1,0,2
17031340400,0,3,0,0,0,2,5
17031340500,0,4,0,0,0,0,4
17031351000,0,0,0,0,2,0,2
17031380100,0,3,0,0,0,2,5
